Product_Price,Order_Quantity,Discount_Applied,Total_Order_Value,Discount_Percentage,Price_Per_Item,Discount_Per_Item,Value_To_Discount_Ratio,User_Age,Order_Month,Order_Day,Order_DayOfWeek,Order_Quarter,Order_IsWeekend,Days_Since_Start,High_Discount_Flag,High_Value_Flag,High_Quantity_Flag,Young_User_Flag,Senior_User_Flag,Premium_Product_Flag,Low_Price_Flag,Product_Category_Encoded,User_Gender_Encoded,User_Location_Encoded,Payment_Method_Encoded,Shipping_Method_Encoded,Price_Range_Encoded,Quantity_Category_Encoded,Age_Group_Encoded,Target
0.26855804681034867,-0.7152095550131979,-1.417017200923223,-0.3027620786079056,-0.3214726560066015,0.29748098985659766,-0.8526898667949161,-0.015947683196810253,-1.5149024114680216,7,26,2,3,0,-0.7528606670551499,0,0,0,1,0,0,0,1,0,14,2,1,2,0,3,0
-0.8449893485292793,-1.4260827833336411,1.3213300327667583,-1.0546431072784994,0.7649022760386588,0.16690525767532965,3.073991591580849,-0.05951251417400887,1.1628729224482917,6,5,2,2,0,0.7545058499394125,0,0,0,0,1,0,1,3,0,33,3,1,1,2,2,0
1.0374726719015588,-0.0043363266927547,-1.4748058661650914,0.7340662152408914,-0.3374978265073608,0.1849113309647107,-0.9516818363338011,0.051759504085970784,0.5097569873467518,8,12,5,3,1,-0.6715107280427449,0,1,0,0,0,0,0,4,1,3,1,2,0,0,2,0
0.2438514326962763,-0.7152095550131979,-1.135036364502058,-0.314562452212775,-0.29765290047890075,0.2806953986475707,-0.6617767826842097,-0.03703745913063603,0.5097569873467518,1,2,1,1,0,0.012785817767484959,0,0,0,0,0,0,0,3,0,19,2,1,2,0,2,1
-1.390074648020481,-0.7152095550131979,0.6793884742968467,-1.0949582646934353,0.7288449888805872,-0.8293885298927413,0.5666664202602375,-0.059476814274649285,0.5097569873467518,7,23,1,3,0,0.984199795386203,0,0,0,0,0,0,1,2,1,89,3,0,1,0,2,0
-0.9795809036039558,-1.4260827833336411,-1.060537723768565,-1.086784918103094,-0.05875541156100931,-0.01597684937825945,-0.15126105406224644,-0.056476936270692335,0.7056917678772138,12,11,2,4,0,1.65892576013615,0,0,0,0,0,0,1,0,1,91,1,2,1,2,2,1
-1.1693249003837,-1.4260827833336411,-0.9588853728611818,-1.1320976841693837,0.09022329779290005,-0.2737997262489201,-0.01361507737008268,-0.05787119573230153,-0.9924096633867898,9,7,5,3,1,1.2043231597727104,0,0,0,1,0,0,1,1,1,19,2,0,1,2,0,0
-1.1824830971356706,-0.0043363266927547,0.7086309314071898,-0.8563767734244495,0.12020543666243338,-0.8205756982475865,0.03383821596443042,-0.058044554553792864,-1.1883444439172517,11,30,5,4,1,1.6062875643045937,0,0,0,1,0,0,1,2,1,22,1,2,1,0,0,1
0.25728959108126753,1.4174101299481316,-1.680895563895128,1.1416471080946267,-0.34610210853132495,-0.5350843341111307,-1.0553877091840613,0.5451311468089889,-1.4495908179578678,3,3,4,1,0,-1.4467277939256629,0,0,1,1,0,0,0,4,1,7,1,1,2,1,3,1
-0.6643441048227061,0.7065369016276886,0.45728505005400294,-0.22199804849639254,-0.181088094332634,-0.7106768345575136,-0.327561037907689,-0.05347175010919304,-0.07804735424463403,8,29,3,3,0,1.1612555450014372,0,0,0,0,0,0,1,0,1,5,3,1,1,1,1,0
1.4685435963451015,-0.7152095550131979,-0.2988413409420102,0.2703750473283086,-0.27344522860713655,1.1127471691165527,-0.09563699498801592,-0.04467495667467517,0.9669381419178298,4,1,5,2,1,-1.3079543685515602,0,1,0,0,0,0,0,4,1,53,1,0,0,0,2,1
-0.08657328467634348,1.4174101299481316,-0.9700253565222648,0.7310576214039557,-0.31735080726866854,-0.6285320503830271,-0.8628718979474872,-0.0219379071423728,0.6403801743670599,8,17,3,3,0,-0.6475842753920377,0,0,1,0,0,0,0,3,1,8,0,0,2,1,2,0
0.3811026232846491,0.7065369016276886,-0.012683010647938954,0.7766545324437337,-0.28070228830968685,-0.35554032479939324,-0.48665527466661107,-0.042961528625811644,-0.33929372828524995,12,23,5,4,1,-0.035067087533929724,0,0,0,0,0,0,0,1,1,44,2,0,2,1,1,0
-0.8556278905840637,0.7065369016276886,-0.9205916790262089,-0.4047199808596089,-0.2727109994452752,-0.775655617523902,-0.7940017705682915,-0.04482992662584162,0.9669381419178298,3,3,4,1,0,-1.4467277939256629,0,0,0,0,0,0,1,2,1,14,2,2,1,1,2,0
1.165905071049781,0.7065369016276886,-0.7103244874232659,1.5263292589672415,-0.3186537451125888,-0.0889442423251478,-0.722821830566522,-0.020225874984513014,-0.9924096633867898,12,26,3,4,0,1.730705118088272,0,1,0,1,0,0,0,3,0,73,0,1,0,1,0,0
-1.1017841564174686,1.4174101299481316,1.1138478370790863,-0.4811549787279761,-0.06037091421214381,-0.9044244022095805,-0.29852339350961604,-0.05645390287604586,-1.0577212568969439,8,28,2,3,0,1.1564702544712957,0,0,1,1,0,0,1,1,1,10,0,1,1,1,0,0
-0.9094505145322833,-0.0043363266927547,-0.8941342178311364,-0.6607680307930258,-0.23783641012252615,-0.6969107477161163,-0.689588812221325,-0.04981277417321234,-0.7964748828563278,4,19,4,2,0,0.5295971950227635,0,0,0,0,0,0,1,2,0,13,3,0,1,0,0,0
0.08294348411765913,1.4174101299481316,-0.022430496351386428,0.9334691289888948,-0.2858389976127842,-0.582464399495477,-0.6062470016762066,-0.04150715324967752,0.7056917678772138,1,19,4,1,0,0.09413575677988992,0,0,1,0,0,0,0,2,1,63,0,1,2,1,2,0
0.6796817049011705,-0.7152095550131979,-0.4652448468794385,-0.1064011875172481,-0.2607745019625854,0.576797031674794,-0.20829928412988966,-0.04698358374339602,0.44444539383659787,2,1,2,1,0,-1.5902865098299068,0,0,0,0,0,0,0,4,1,37,1,2,2,0,2,1
